Response ID,Date submitted,Last page,Start language,What is your profession- [Biologist],What is your profession- [Chemist],What is your profession- [Biochemist],What is your profession- [Pharmacologist],What is your profession- [Pathologist],What is your profession- [Medical scientist],What is your profession- [Medical doctor],What is your profession- [Toxicologist / Forensic scientist],What is your profession- [Technical assistant],What is your profession- [Engineer/ Physicist],What is your profession- [Bioinformatician],What is your profession- [Mathematician/ Statistician],What is your profession- [Student],What is your profession- [Other],What is your field of use for MALDI imaging- [Small molecules],What is your field of use for MALDI imaging- [Lipidomics],What is your field of use for MALDI imaging- [Metabolomics],What is your field of use for MALDI imaging- [Proteomics],What is your field of use for MALDI imaging- [Pharmaceutical research],What is your field of use for MALDI imaging- [Biomarkers and diagnostics],What is your field of use for MALDI imaging- [Pathology and molecular histology],What is your field of use for MALDI imaging- [Forensics and toxicology],What is your field of use for MALDI imaging- [Polymer research],What is your field of use for MALDI imaging- [Plant research],What is your field of use for MALDI imaging- [Microbiology],What is your field of use for MALDI imaging- [Methodology],What is your field of use for MALDI imaging- [Bioinformatics],What is your field of use for MALDI imaging- [MALDI-imaging services],What is your field of use for MALDI imaging- [Instrumentation],What is your field of use for MALDI imaging- [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other],"Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode]","Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode]",Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other],How many/ which mass spectrometers do you have in your lab for performing MS imaging experiments-,How many MS imaging data sets are acquired in your lab on average-,How many MS imaging data sets are acquired in your lab on average- [Other],"How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -","How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other]",What impact do you expect METASPACE to have on the work in your lab/ industry-,"Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-",What would be the preferable way of running the software- [Online in a cloud/ community server],What would be the preferable way of running the software- [Local cluster/ server],What would be the preferable way of running the software- [Workstation],What would be the preferable way of running the software- [Desktop PC],What would be the preferable way of running the software- [Laptop],What would be the preferable way of running the software- [Other],Which types / formats of input data are necessary- [imzML format],Which types / formats of input data are necessary- [SCiLS Lab format],Which types / formats of input data are necessary- [Other MS imaging software format],Which types / formats of input data are necessary- [Bruker raw data],Which types / formats of input data are necessary- [Shimadzu raw data],Which types / formats of input data are necessary- [Sciex raw data],Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data],Which types / formats of input data are necessary- [Waters raw data],Which types / formats of input data are necessary- [Other mass spec vendor's raw data],Which types / formats of input data are necessary- [Other],Which types of output should be provided- [Interactive web browser],Which types of output should be provided- [Integration within SCiLS Lab],Which types of output should be provided- [PDF report],Which types of output should be provided- [List of molecules],Which types of output should be provided- [Images],Which types of output should be provided- [Other],How important would be for you the sustainability of the engine-,How important would be for you customization services-,How important would be for you maintenance and support-,If you have any further comments or general remarks please leave them here:
101,,2,en,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,,,,,,,,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,,,,
102,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,No,No,No,,No,No,No,No,Yes,,1 Q Exactive plus-AP-SMALDI source,3-5 data sets / week,,3-5 data sets / week,,Very high impact,"Automatic adduct finding
Automatic homolog finding",No,No,Yes,No,No,,Yes,No,No,Yes,No,No,Yes,No,No,,Yes,No,No,Yes,Yes,,"important, but not to the level to pay for it","crucial, ready to pay for it","important, but not to the level to pay for it",
103,1980-01-01 00:00:00,3,en,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,"MALDI TOF Autoflex III
MALDI TOF TOF UltrafleXtreme
FTICR XR 7 Tesla with MALDI/ESI combisource",1-2 data sets / week,,Less than 1 data set / week,,Very high impact,"runtime
size of data
confidence of identifications",Yes,Yes,No,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
104,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1x UltrafleXextreme 2kHz,Less than 1 data set / week,,Less than 1 data set / week,,High impact,allow other modalities,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,Yes,No,,No,Yes,No,No,No,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
105,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,,No,Yes,Yes,No,Yes,,"Xero, synapt, orbitrap, plenty others i'm sure (no Bruker though!)",More than 5 data sets / day,,3-5 data sets / week,,Very high impact,"runtime
data upload time
processing time",Yes,Yes,Yes,Yes,No,,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,raw text output so that others can incorporate the results into other programs,"important, but not to the level to pay for it","crucial, ready to pay for it","crucial, ready to pay for it",
106,1980-01-01 00:00:00,3,en,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,Yes,No,No,No,No,,Ultraflextreme,3-5 data sets / week,,Less than 1 data set / week,,Very high impact,,No,Yes,No,Yes,No,,No,Yes,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,,I don't know,"crucial, ready to pay for it","crucial, ready to pay for it",
107,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1 AutoflexSpeed MALDI-TOF/TOF ,1-2 data sets / day,,,,,size of data,Yes,No,Yes,No,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
108,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,,3-5 data sets / week,,,,Unsure,,No,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","important, but not to the level to pay for it",
109,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
110,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1 MALDI TOF Ultraflexstreme III,1-2 data sets / day,,,,Unsure,,No,Yes,Yes,Yes,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,,"important, but not to the level to pay for it",I don't know,"crucial, ready to pay for it",
111,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,3-5 data sets / week,,Less than 1 data set / week,,Low impact,Most of our work is not focused on the detection of metabolites,No,No,No,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,,not important,not important,not important,
112,1980-01-01 00:00:00,3,en,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Yes,Yes,No,No,,Yes,Yes,No,Yes,No,,"Autoflex
Microflex
FT-ICR",1-2 data sets / day,,Less than 1 data set / week,,High impact,data size,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,Yes,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,"important, but not to the level to pay for it","important, but not to the level to pay for it",
113,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,No,Yes,No,No,,No,No,No,No,Yes,,1,3-5 data sets / day,,3-5 data sets / day,,High impact,,Yes,No,No,Yes,Yes,,No,No,No,No,No,No,Yes,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,"important, but not to the level to pay for it","important, but not to the level to pay for it",
114,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,AB SCIEX 4800 TOF/TOF-MS,3-5 data sets / week,,,,No impact,"We don't do metabolomics work, so METASPACE does not appear to impact our work. For proteomics work, we would do targeted studies. Runtime is our biggest constraint, but that is a hardware issue, not amenable to changes in software.",No,Yes,No,Yes,No,,No,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,Yes,No,,I don't know,I don't know,I don't know,
115,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,No,No,No,,No,No,No,Yes,No,,"Solarix XR 12T
Solarix XR 7T",3-5 data sets / week,,3-5 data sets / week,,High impact,"Database should be selective for the organism
Database for plants",No,Yes,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","crucial, ready to pay for it",
116,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
117,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
118,,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Yes,No,No,,No,No,No,No,No,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
119,1980-01-01 00:00:00,3,en,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,,No,No,No,Yes,No,,1,1-2 data sets / day,,3-5 data sets / week,,Unsure,Runtime,No,No,No,Yes,Yes,,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,SVG,"crucial, ready to pay for it",I don't know,I don't know,
120,1980-01-01 00:00:00,3,en,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,Cooperation ,,,,,Low impact,Other data than metabolimics ,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,not important,not important,not important,
121,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,one mass spectrometer,Other,we are starting to use the aparatus now,Other,we are starting to use the mass spectrometer now ,Very high impact,the runtime is quite important for us,No,Yes,No,No,No,,No,No,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,,"important, but not to the level to pay for it",I don't know,"important, but not to the level to pay for it","As we are go to use the mass spectrometer soon we do not know  the coming problems,we may chnage ouir ideas 
after start the work."
122,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
123,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
124,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,MALDESI,No,Yes,No,No,Yes,,"We have two mass spectrometers for imaging, a MALDI-TOF for low resolution analyses and a MALDESI-Orbitrap for high resolution analyses. ",1-2 data sets / day,,3-5 data sets / week,,High impact,,No,Yes,No,Yes,No,,Yes,No,No,No,No,No,Yes,No,No,,No,No,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
125,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,Yes,No,Yes,Yes,LESA,No,No,No,Yes,Yes,,3,1-2 data sets / day,,1-2 data sets / day,,Very high impact,"A simple plug-n-play. Data analysis is by far the slowest step of my work flow. 
All my data is FT-based, so files sizes are always a concern.",Yes,Yes,Yes,No,No,,No,Yes,No,Yes,No,No,Yes,No,No,Agilent (maybe in future),Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
126,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
129,1980-01-01 00:00:00,3,en,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,Bruker UltrafleXtreme,1-2 data sets / week,,Less than 1 data set / week,,Unsure,,No,No,Yes,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
128,,2,en,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,,,,,,,,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,,,,
130,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,,"Thermo LTQ XL
Thermo LTQ Velos
Synapt G2S
Thermo QExactive
Bruker Ultraflextreme",More than 5 data sets / day,,3-5 data sets / week,,,"Features:
1) High confidence ID without the need for RT alignment
Constraints:
1) RT alignment is not applicable to imaging workflows so available software is not usable.
2) file size long imaging runs
3) Processing power of the computer.",No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,No,Yes,Yes,,"important, but not to the level to pay for it",,,
131,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,Bruker autoflex speed,3-5 data sets / week,,,,Unsure,,No,No,Yes,No,No,,Yes,No,No,Yes,No,No,Yes,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,I don't know,I don't know,
133,,1,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,,No,No,Yes,No,Yes,,4,More than 5 data sets / day,,More than 5 data sets / day,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
