Response ID;Date submitted;Last page;Start language;What is your profession- [Biologist];What is your profession- [Chemist];What is your profession- [Biochemist];What is your profession- [Pharmacologist];What is your profession- [Pathologist];What is your profession- [Medical scientist];What is your profession- [Medical doctor];What is your profession- [Toxicologist / Forensic scientist];What is your profession- [Technical assistant];What is your profession- [Engineer/ Physicist];What is your profession- [Bioinformatician];What is your profession- [Mathematician/ Statistician];What is your profession- [Student];What is your profession- [PhD Student];What is your profession- [Computer Science];What is your profession- [Mass Spectrometrist];What is your profession- [Microbiologist];What is your field of use for MALDI imaging- [Small molecules];What is your field of use for MALDI imaging- [Lipidomics];What is your field of use for MALDI imaging- [Metabolomics];What is your field of use for MALDI imaging- [Proteomics];What is your field of use for MALDI imaging- [Pharmaceutical research];What is your field of use for MALDI imaging- [Biomarkers and diagnostics];What is your field of use for MALDI imaging- [Pathology and molecular histology];What is your field of use for MALDI imaging- [Forensics and toxicology];What is your field of use for MALDI imaging- [Polymer research];What is your field of use for MALDI imaging- [Plant research];What is your field of use for MALDI imaging- [Microbiology];What is your field of use for MALDI imaging- [Methodology];What is your field of use for MALDI imaging- [Bioinformatics];What is your field of use for MALDI imaging- [MALDI-imaging services];What is your field of use for MALDI imaging- [Instrumentation];What is your field of use for MALDI imaging- [Other];Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other];How many mass spectrometers do you have in your lab for performing MS imaging experiments-;Which mass spectrometers do you have in your lab for performing MS imaging experiments-;How many MS imaging data sets are acquired in your lab on average-;How many MS imaging data sets are acquired in your lab on average- [Other];How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -;How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other];What impact do you expect METASPACE to have on the work in your lab/ industry-;Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-;What would be the preferable way of running the software- [Online in a cloud/ community server];What would be the preferable way of running the software- [Local cluster/ server];What would be the preferable way of running the software- [Workstation];What would be the preferable way of running the software- [Desktop PC];What would be the preferable way of running the software- [Laptop];What would be the preferable way of running the software- [Other];Which types / formats of input data are necessary- [imzML format];Which types / formats of input data are necessary- [SCiLS Lab format];Which types / formats of input data are necessary- [Other MS imaging software format];Which types / formats of input data are necessary- [Bruker raw data];Which types / formats of input data are necessary- [Shimadzu raw data];Which types / formats of input data are necessary- [Sciex raw data];Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data];Which types / formats of input data are necessary- [Waters raw data];Which types / formats of input data are necessary- [Other mass spec vendor's raw data];Which types / formats of input data are necessary- [Other];Which types of output should be provided- [Interactive web browser];Which types of output should be provided- [Integration within SCiLS Lab];Which types of output should be provided- [PDF report];Which types of output should be provided- [List of molecules];Which types of output should be provided- [Images];Which types of output should be provided- [Other];How important would be for you the sustainability of the engine-;How important would be for you customization services-;How important would be for you maintenance and support-;If you have any further comments or general remarks please leave them here:
63;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;;Yes;Yes;Yes;Yes;LESA;Yes;Yes;Yes;Yes;No;;11;"11
Physical electronics NanoTof, Biotrift and SIMSTrift
Waters synapt G1, G2S and G2Si
Bruker autoflex, ultraflex, rapiflex
7T LTQ-FTICR, 9.4T FTICR";3-5 data sets / week;;3-5 data sets / week;;High impact;"Data size and processing capabilities. Our Matlab scripts require large memory and processing powers currently that we cannot keep up with. 
Having example MSMS spectra from tissue is important for identification, also example images from certain tissues and biological information so results point in a translatable direction, much as HMDB currently provides for regular MS data.
Also a include the possibility to search ion adduct masses as a complete search unlike lipidMAPS search function. ";Yes;Yes;No;No;No;;Yes;Yes;Yes;Yes;No;No;No;Yes;No;.mat matlab files;Yes;Yes;No;No;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
125;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;;Yes;No;Yes;Yes;LESA;No;No;No;Yes;Yes;;;3;1-2 data sets / day;;1-2 data sets / day;;Very high impact;"A simple plug-n-play. Data analysis is by far the slowest step of my work flow. 
All my data is FT-based, so files sizes are always a concern.";Yes;Yes;Yes;No;No;;No;Yes;No;Yes;No;No;Yes;No;No;Agilent (maybe in future);Yes;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
101;;2;en;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;;No;No;No;No;No;;;;;;;;;;No;No;No;No;No;;No;No;No;No;No;No;No;No;No;;No;No;No;No;No;;;;;
128;;2;en;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;;No;No;No;No;No;;;;;;;;;;No;No;No;No;No;;No;No;No;No;No;No;No;No;No;;No;No;No;No;No;;;;;
62;;2;en;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;MALDI TOF/TOF for imaging - LC ESI MS/MS for identification;3-5 data sets / week;;;;Unsure;;No;No;Yes;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
50;;2;en;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;Yes;Yes;Yes;No;;No;No;Yes;No;Yes;;;All;;;;;Unsure;Open source;Yes;Yes;Yes;Yes;Yes;;Yes;No;No;No;No;No;No;No;No;;Yes;No;Yes;Yes;Yes;;;;;
23;;1;en;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;;Yes;No;No;No;;No;Yes;Yes;No;No;;;;1-2 data sets / day;;Less than 1 data set / week;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
26;;1;en;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;;No;No;No;No;No;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
133;;1;en;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;Yes;No;No;;No;No;Yes;No;Yes;;;4;More than 5 data sets / day;;More than 5 data sets / day;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
31;;1;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;crude oil analysis;Yes;No;Yes;Yes;;No;Yes;No;No;No;;;21;Less than 1 data set / week;;Less than 1 data set / week;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
60;;1;en;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;UltraFleXtreme;3-5 data sets / week;;;;;;No;No;No;No;No;;No;No;No;No;No;No;No;No;No;;No;No;No;No;No;;;;;
91;;1;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;Yes;No;No;Triple Q;;;3-5 data sets / day;;Less than 1 data set / week;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
118;;1;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;;Yes;Yes;No;No;;No;No;No;No;No;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
22;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
18;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
36;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
38;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
41;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
53;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
55;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
75;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
81;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
84;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
85;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
87;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
90;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
92;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
96;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
97;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
100;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
109;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
116;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
117;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
122;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
123;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
126;;;en;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;
